CD_MUNCP	DESIGNATION	NAME_MUNCP	MRC	REG_ADM
46005	Village	Abercorn	Brome-Missisquoi	Montérégie
48028	Ville	Acton Vale	Acton	Montérégie
31056	Municipalité	Adstock	Les Appalaches	Chaudière-Appalaches
98030	Municipalité	Aguanish	Minganie	Côte-Nord
92030	Municipalité	Albanel	Maria-Chapdelaine	Saguenay–Lac-Saint-Jean
7025	Municipalité	Albertville	La Matapédia	Bas-Saint-Laurent
84050	Municipalité	Alleyn-et-Cawood	Pontiac	Outaouais
93042	Ville	Alma	Lac-Saint-Jean-Est	Saguenay–Lac-Saint-Jean
78070	Canton	Amherst	Les Laurentides	Laurentides
88055	Ville	Amos	Abitibi	Abitibi-Témiscamingue
7047	Ville	Amqui	La Matapédia	Bas-Saint-Laurent
55008	Municipalité	Ange-Gardien	Rouville	Montérégie
85080	Village	Angliers	Témiscamingue	Abitibi-Témiscamingue
19037	Municipalité	Armagh	Bellechasse	Chaudière-Appalaches
78060	Canton	Arundel	Les Laurentides	Laurentides
40043	Ville	Asbestos	Les Sources	Estrie
41055	Municipalité	Ascot Corner	Le Haut-Saint-François	Estrie
50013	Municipalité	Aston-Jonction	Nicolet-Yamaska	Centre-du-Québec
13045	Municipalité	Auclair	Témiscouata	Bas-Saint-Laurent
30055	Municipalité	Audet	Le Granit	Estrie
83090	Canton	Aumond	La Vallée-de-la-Gatineau	Outaouais
45085	Municipalité	Austin	Memphrémagog	Estrie
87050	Municipalité	Authier	Abitibi-Ouest	Abitibi-Témiscamingue
87100	Municipalité	Authier-Nord	Abitibi-Ouest	Abitibi-Témiscamingue
45035	Village	Ayer's Cliff	Memphrémagog	Estrie
96020	Ville	Baie-Comeau	Manicouagan	Côte-Nord
66112	Ville	Baie-D'Urfé	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
8080	Municipalité	Baie-des-Sables	La Matanie	Bas-Saint-Laurent
50100	Municipalité	Baie-du-Febvre	Nicolet-Yamaska	Centre-du-Québec
98035	Municipalité	Baie-Johan-Beetz	Minganie	Côte-Nord
16013	Ville	Baie-Saint-Paul	Charlevoix	Capitale-Nationale
15065	Municipalité	Baie-Sainte-Catherine	Charlevoix-Est	Capitale-Nationale
96005	Village	Baie-Trinité	Manicouagan	Côte-Nord
78050	Ville	Barkmere	Les Laurentides	Laurentides
44045	Municipalité	Barnston-Ouest	Coaticook	Estrie
88022	Municipalité	Barraute	Abitibi	Abitibi-Témiscamingue
37210	Municipalité	Batiscan	Les Chenaux	Mauricie
66107	Ville	Beaconsfield	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
85020	Municipalité	Béarn	Témiscamingue	Abitibi-Témiscamingue
27028	Ville	Beauceville	Robert-Cliche	Chaudière-Appalaches
70022	Ville	Beauharnois	Beauharnois-Salaberry \ Communauté métropolitaine de Montréal	Montérégie
31008	Municipalité	Beaulac-Garthby	Les Appalaches	Chaudière-Appalaches
19105	Municipalité	Beaumont	Bellechasse	Chaudière-Appalaches
21025	Ville	Beaupré	La Côte-de-Beaupré\ Communauté métropolitaine de Québec	Capitale-Nationale
38010	Ville	Bécancour	Bécancour	Centre-du-Québec
46040	Canton	Bedford	Brome-Missisquoi	Montérégie
46035	Ville	Bedford	Brome-Missisquoi	Montérégie
94250	Municipalité	Bégin	Le Fjord-du-Saguenay	Saguenay–Lac-Saint-Jean
89050	Municipalité	Belcourt	La Vallée-de-l'Or	Abitibi-Témiscamingue
85065	Ville	Belleterre	Témiscamingue	Abitibi-Témiscamingue
57040	Ville	Beloeil	La Vallée-du-Richelieu \ Communauté métropolitaine de Montréal	Montérégie
88070	Municipalité	Berry	Abitibi	Abitibi-Témiscamingue
18065	Municipalité	Berthier-sur-Mer	Montmagny	Chaudière-Appalaches
52035	Ville	Berthierville	D'Autray	Lanaudière
48005	Municipalité	Béthanie	Acton	Montérégie
13055	Municipalité	Biencourt	Témiscouata	Bas-Saint-Laurent
73015	Ville	Blainville	Thérèse-De Blainville \ Communauté métropolitaine de Montréal	Laurentides
98005	Municipalité	Blanc-Sablon	Le Golfe-du-Saint-Laurent	Côte-Nord
83045	Municipalité	Blue Sea	La Vallée-de-la-Gatineau	Outaouais
80115	Municipalité	Boileau	Papineau	Outaouais
73030	Ville	Bois-des-Filion	Thérèse-De Blainville \ Communauté métropolitaine de Montréal	Laurentides
83085	Municipalité	Bois-Franc	La Vallée-de-la-Gatineau	Outaouais
73005	Ville	Boisbriand	Thérèse-De Blainville \ Communauté métropolitaine de Montréal	Laurentides
21045	Municipalité	Boischatel	La Côte-de-Beaupré\ Communauté métropolitaine de Québec	Capitale-Nationale
45095	Municipalité	Bolton-Est	Memphrémagog	Estrie
