location,ville,ville_w_regadm,final_lat,final_lon
" 110 SAINT PIERRE and EN SORTANT STAT UNIPRIX Saint-Constant, QC, Canada","Saint-Constant, QC, Canada","Saint-Constant,Montérégie, QC, Canada",45.3753025,-73.5680915
" 16 Bedford, QC, Canada","Bedford, QC, Canada","Bedford,Montérégie, QC, Canada",NA,NA
" 1605 LE CORBUSIER Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.563951,-73.7290629
" 1755 SAINT CALIXTE and AVENUE SAINT LOUIS Plessisville, QC, Canada","Plessisville, QC, Canada","Plessisville,Centre-du-Québec, QC, Canada",46.219449,-71.771303
" 1825 AGNES and ALFRED Brossard, QC, Canada","Brossard, QC, Canada","Brossard,Montérégie, QC, Canada",45.4737077,-73.4625963
" 2685 SAINTE CATHERINE OUEST and JEANNE MANCE Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5055574,-73.57141349999999
" 3024 MONT ROYAL and 5E AVENUE Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5450524,-73.5669709
" 31 DE LA VIGIE Lévis, QC, Canada","Lévis, QC, Canada","Lévis,Chaudière-Appalaches, QC, Canada",46.800909,-71.17733199999999
" 3925 BOULEVARD GUILLAUME COUTUR Lévis, QC, Canada","Lévis, QC, Canada","Lévis,Chaudière-Appalaches, QC, Canada",46.7741832,-71.19783679999999
" 430 NOTRE-DAME OUEST and MC GILL Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5011239,-73.559283
" 4316 BOURBONNIERE and RACHEL Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5522679,-73.55645609999999
" 455 Saint-François-de-l'Île-d'Orléans, QC, Canada","Saint-François-de-l'Île-d'Orléans, QC, Canada","Saint-François-de-l'Île-d'Orléans,Capitale-Nationale, QC, Canada",NA,NA
" 51 Sainte-Pétronille, QC, Canada","Sainte-Pétronille, QC, Canada","Sainte-Pétronille,Capitale-Nationale, QC, Canada",NA,NA
" 543 ONTARIO EST and SAINT HUBERT Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5178949,-73.56427529999999
" 5505 16E AVENUE and DANDURAND Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.55549750000001,-73.5740744
" 565 BOULEVARD SAINT JOSEPH and RIVARD Drummondville, QC, Canada","Drummondville, QC, Canada","Drummondville,Centre-du-Québec, QC, Canada",45.8940687,-72.51611419999999
" 624 BOWEN SUD Sherbrooke, QC, Canada","Sherbrooke, QC, Canada","Sherbrooke,Estrie, QC, Canada",45.3969359,-71.878316
" 760 SAINT HENRI Princeville, QC, Canada","Princeville, QC, Canada","Princeville,Centre-du-Québec, QC, Canada",NA,NA
" 8100 METROPOLITAIN and BOULEVARD DU GOLF Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.6199532,-73.5535038
" and 4520 DES RECOLLETS Trois-Rivières, QC, Canada","Trois-Rivières, QC, Canada","Trois-Rivières,Mauricie, QC, Canada",NA,NA
" BOULEVARD DE MORTAGNE Boucherville, QC, Canada","Boucherville, QC, Canada","Boucherville,Montérégie, QC, Canada",45.5871686,-73.4421873
" NOTRE-DAME Saint-Lambert, QC, Canada","Saint-Lambert, QC, Canada","Saint-Lambert,Montérégie, QC, Canada",45.502175,-73.51077
"0 106E AVENUE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7994209,-74.0140858
"0 20E AVENUE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7714204,-73.99531019999999
"0 24E AVENUE ET BOULEVARD SAINT ANTOINE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7629458,-73.9800728
"0 36E AVENUE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7751848,-73.9810665
"0 36IEME AVENUE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7751848,-73.9810665
"0 AVENUE JOFFRE Candiac, QC, Canada","Candiac, QC, Canada","Candiac,Montérégie, QC, Canada",45.3915662,-73.5254878
"0 BAGOT Saguenay, QC, Canada","Saguenay, QC, Canada","Saguenay,Saguenay/-Lac-Saint-Jean, QC, Canada",48.3356904,-70.89452279999999
"0 BALTHAZARD Saint-Jean-sur-Richelieu, QC, Canada","Saint-Jean-sur-Richelieu, QC, Canada","Saint-Jean-sur-Richelieu,Montérégie, QC, Canada",45.30867910000001,-73.2349698
"0 BELANGER Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7935369,-74.0123081
"0 BELLEROSE OUEST Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.6108739,-73.73651260000001
"0 BERNARD Cowansville, QC, Canada","Cowansville, QC, Canada","Cowansville,Montérégie, QC, Canada",45.2109737,-72.7424202
"0 BOULEVARD DE LA CONCORDE EST Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.6458202,-73.5053545
"0 BOULEVARD DES LAURENTIDES Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.5581945,-73.6783394
"0 BOULEVARD DES LAURENTIDES Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.762192,-73.99511679999999
"0 BOULEVARD SAINT ANTOINE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.762484,-73.98531299999999
"0 BOULEVARD SAINT LAURENT Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5423718,-73.64122030000001
"0 BOULEVARD SAINTE ROSE Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.6236656,-73.77567499999999
"0 BOULEVARD VANIER Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.6080752,-73.6567194
"0 BRIERE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7659435,-74.0157947
"0 CABANA Granby, QC, Canada","Granby, QC, Canada","Granby,Montérégie, QC, Canada",45.4114821,-72.7393163
"0 CASTONGUAY Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.776367,-74.0043949
"0 CHEMIN DE LA RIVIERE DES ANGLAIS Howick, QC, Canada","Howick, QC, Canada","Howick,Montérégie, QC, Canada",45.1817801,-73.8468941
"0 CHEMIN DES HAUTEURS Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.8076861,-74.01319629999999
"0 CHENIER Magog, QC, Canada","Magog, QC, Canada","Magog,Estrie, QC, Canada",45.25707,-72.14439399999999
"0 CHILD Coaticook, QC, Canada","Coaticook, QC, Canada","Coaticook,Estrie, QC, Canada",45.1325614,-71.8052955
"0 COLLERETTE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",NA,NA
"0 CURE LABELLE Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.6385363,-73.826678
"0 DANIEL JOHNSON Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.539897,-73.72224589999999
"0 DE LA GARE ET SAINT GEORGES Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7758881,-74.0032923
"0 DE LA SALETTE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7970479,-74.0159784
"0 DE MARTIGNY Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.78025969999999,-74.0067828
"0 DE MONTIGNY Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7723131,-74.0061779
"0 DE QUEN Sept-Îles, QC, Canada","Sept-Îles, QC, Canada","Sept-Îles,Côte-Nord, QC, Canada",50.2117315,-66.3886696
"0 DEMARTIGNY Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7794315,-74.0143561
"0 DESLAURENTIDES Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7593047,-73.98752329999999
"0 DU DOMAINE Magog, QC, Canada","Magog, QC, Canada","Magog,Estrie, QC, Canada",45.2953316,-72.1047356
"0 DU GRAND HERON Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7543003,-74.0222862
"0 DU PALAIS Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7776689,-73.9958126
"0 DULUTH EST Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5169671,-73.57942100000001
"0 DUVERNAY Cowansville, QC, Canada","Cowansville, QC, Canada","Cowansville,Montérégie, QC, Canada",45.1957361,-72.7448802
"0 FOURNIER Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7883468,-74.0010624
"0 GAUTHIER ET DE MARTIGNY Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7779391,-74.0359041
"0 GAUTHIER Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7650595,-74.0173269
"0 HEBERT Québec, QC, Canada","Québec, QC, Canada","Québec,Capitale-Nationale, QC, Canada",46.8067742,-71.216171
"0 INDUSTRIEL Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.5864615,-73.73770999999999
"0 J B ROLLAND Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",NA,NA
"0 JOSAPHAT DEMERS Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.5266187,-73.79113989999999
"0 LABELLE ET 100E AVENUE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.79482170000001,-74.009095
"0 LABELLE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7694073,-74.0030658
"0 LAFONTAINE ET BOULEVARD MAURICE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.8045097,-74.0087136
"0 LASALETTE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7970479,-74.0159784
"0 MAISONNEUVE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7784764,-74.034995
"0 MARCHAND Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7784836,-74.0074717
"0 MELANCON Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7850475,-73.9963787
"0 MONSEIGNEUR DUBOIS Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",NA,NA
"0 MONTÉE DE L EGLISE Saint-Colomban, QC, Canada","Saint-Colomban, QC, Canada","Saint-Colomban,Laurentides, QC, Canada",45.7082359,-74.09891859999999
"0 NOTRE-DAME EST Thetford Mines, QC, Canada","Thetford Mines, QC, Canada","Thetford Mines,Chaudière-Appalaches, QC, Canada",46.091246100000014,-71.29954830000001
"0 OUIMET Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.783614,-73.9934629
"0 PARENT Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7765136,-73.9940259
"0 PONT DE MARTIGNY Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.78025969999999,-74.0067828
"0 PRINCIPALE Cowansville, QC, Canada","Cowansville, QC, Canada","Cowansville,Montérégie, QC, Canada",45.2086367,-72.72069359999999
"0 PRINCIPALE Granby, QC, Canada","Granby, QC, Canada","Granby,Montérégie, QC, Canada",45.39725620000001,-72.72004609999999
"0 ROLAND GODARD Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",NA,NA
"0 ROUTE 199 Les Îles-de-la-Madeleine, QC, Canada","Les Îles-de-la-Madeleine, QC, Canada","Les Îles-de-la-Madeleine,Gaspésie/-Îles-de-la-Madeleine, QC, Canada",47.2854866,-61.93095
"0 SAINT ANTOINE NORD Granby, QC, Canada","Granby, QC, Canada","Granby,Montérégie, QC, Canada",NA,NA
"0 SAINT ANTOINE SUD Granby, QC, Canada","Granby, QC, Canada","Granby,Montérégie, QC, Canada",45.4011556,-72.7304896
"0 SAINT CHARLES Saint-Jean-sur-Richelieu, QC, Canada","Saint-Jean-sur-Richelieu, QC, Canada","Saint-Jean-sur-Richelieu,Montérégie, QC, Canada",45.3076124,-73.2513033
"0 SAINT GEORGES Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7679801,-74.00112899999999
"0 SAINT JOSEPH Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.7749347,-74.0034479
"0 SAINT MARTIN Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.5654958,-73.7348082
"0 SAINT PATRICE EST Magog, QC, Canada","Magog, QC, Canada","Magog,Estrie, QC, Canada",45.265807,-72.1463149
"0 SAINT URBAIN Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5470555,-73.6656118
"0 SAINTE PAULE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.793957,-74.00456299999999
"0 SAINTE THERESE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.8211276,-74.0557784
"0 TERR HALTE ROUTIERE SAINT ISIDORE C Saint-Isidore-de-Clifton, QC, Canada","Saint-Isidore-de-Clifton, QC, Canada","Saint-Isidore-de-Clifton,Estrie, QC, Canada",45.264905,-71.5115521
"0 VIEILLE UNIVERSITE Québec, QC, Canada","Québec, QC, Canada","Québec,Capitale-Nationale, QC, Canada",46.8155367,-71.2041481
"1 5 KM AU NORD INT FOURNIER ET 197 Gaspé, QC, Canada","Gaspé, QC, Canada","Gaspé,Gaspésie/-Îles-de-la-Madeleine, QC, Canada",NA,NA
"1 7E AVENUE OUEST Macamic, QC, Canada","Macamic, QC, Canada","Macamic,Abitibi-Témiscamingue, QC, Canada",48.755664,-79.002737
